"_id","lat","lng","state","country","city","p"
"ObjectId(""5ebd672ec7b01f00197ab6c9"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd673bc7b01f00197ab6ca"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0
"ObjectId(""5ebd6743c7b01f00197ab6cb"")","-27.0628367","-51.114965","Santa Catarina","Brasil",,0
"ObjectId(""5ebd6772c7b01f00197ab6cd"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd6778c7b01f00197ab6ce"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",0
"ObjectId(""5ebd67e6c7b01f00197ab6d1"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0
"ObjectId(""5ebd67fdc7b01f00197ab6d2"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",0
"ObjectId(""5ebd6802c7b01f00197ab6d3"")","2.8208478","-60.6719582","Roraima","Brasil","Boa Vista",14
"ObjectId(""5ebd680bc7b01f00197ab6d4"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",27
"ObjectId(""5ebd682cc7b01f00197ab6d5"")","-5.0393915","-42.4611694","Piauí","Brasil","Altos",0
"ObjectId(""5ebd6833c7b01f00197ab6d6"")","-1.374035","-48.4016623","Pará","Brasil","Ananindeua",0
"ObjectId(""5ebd683cc7b01f00197ab6d7"")","-22.4683626","-44.4463494","Rio de Janeiro","Brasil","Resende",0
"ObjectId(""5ebd6856c7b01f00197ab6d8"")","-21.9549806","-49.0232348","São Paulo","Brasil",,1
"ObjectId(""5ebd68a9c7b01f00197ab6dd"")","-22.8733203","-42.3428897","Rio de Janeiro","Brasil","Araruama",0
"ObjectId(""5ebd68e4c7b01f00197ab6de"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,1
"ObjectId(""5ebd690ac7b01f00197ab6df"")","-22.90556","-47.06083","São Paulo","Brasil","Campinas",0
"ObjectId(""5ebd6919c7b01f00197ab6e0"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,1
"ObjectId(""5ebd6939c7b01f00197ab6e1"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",1
"ObjectId(""5ebd6941c7b01f00197ab6e2"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",0
"ObjectId(""5ebd6957c7b01f00197ab6e3"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0
"ObjectId(""5ebd69ffc7b01f00197ab6e7"")","3.157774","101.641338","Kuala Lumpur","Malaysia",,0
"ObjectId(""5ebd6a1ec7b01f00197ab6e8"")","-29.8425284","-53.7680577","Rio Grande do Sul","Brasil",,3
"ObjectId(""5ebd6a2ac7b01f00197ab6e9"")","-29.3299421","-51.4787696","Rio Grande do Sul","Brasil",,0
"ObjectId(""5ebd6a34c7b01f00197ab6ea"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",0
"ObjectId(""5ebd6a5fc7b01f00197ab6eb"")","-12.285251","-41.9294776","Bahia","Brasil",,1
"ObjectId(""5ebd6a98c7b01f00197ab6ee"")","-20.949077","-48.479083","São Paulo","Brasil","Bebedouro",0
"ObjectId(""5ebd6aa9c7b01f00197ab6ef"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",0
"ObjectId(""5ebd6ab3c7b01f00197ab6f0"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",2
"ObjectId(""5ebd6abac7b01f00197ab6f1"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",1
"ObjectId(""5ebd6aefc7b01f00197ab6f3"")","-3.1316333","-59.9825041","Amazonas","Brasil","Manaus",0
"ObjectId(""5ebd6b01c7b01f00197ab6f4"")","-21.7558619","-41.3326895","Rio de Janeiro","Brasil","Campos dos Goytacazes",1
"ObjectId(""5ebd6b12c7b01f00197ab6f5"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",0
"ObjectId(""5ebd6b44c7b01f00197ab6f6"")","-10.1835604","-48.3337793","Tocantins","Brasil","Palmas",0
"ObjectId(""5ebd6b56c7b01f00197ab6f8"")","-31.7636377","-52.2721084","Rio Grande do Sul","Brasil","Pelotas",0
"ObjectId(""5ebd6b5dc7b01f00197ab6f9"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",2
"ObjectId(""5ebd6b83c7b01f00197ab6fa"")","-31.7636377","-52.2721084","Rio Grande do Sul","Brasil","Pelotas",0
"ObjectId(""5ebd6b91c7b01f00197ab6fb"")","-31.7636377","-52.2721084","Rio Grande do Sul","Brasil","Pelotas",0
"ObjectId(""5ebd6b97c7b01f00197ab6fc"")","-31.7636377","-52.2721084","Rio Grande do Sul","Brasil","Pelotas",0
"ObjectId(""5ebd6ba0c7b01f00197ab6fd"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",0
"ObjectId(""5ebd6badc7b01f00197ab6fe"")","-20.1252961","-40.3064477","Espírito Santo","Brasil","Serra",1
"ObjectId(""5ebd6bb3c7b01f00197ab6ff"")","-5.805398","-35.2080905","Rio Grande do Norte","Brasil","Natal",0
"ObjectId(""5ebd6bcfc7b01f00197ab701"")","-10.50494","-37.0552566","Sergipe","Brasil","Capela",0
"ObjectId(""5ebd6bd6c7b01f00197ab702"")","-1.721828","-48.878843","Pará","Brasil","Abaetetuba",0
"ObjectId(""5ebd6c2bc7b01f00197ab703"")","-9.3817334","-40.4968875","Pernambuco","Brasil","Petrolina",3
"ObjectId(""5ebd6c31c7b01f00197ab704"")","-16.7273538","-43.8717676","Minas Gerais","Brasil","Montes Claros",0
"ObjectId(""5ebd6c40c7b01f00197ab705"")","-5.0896403","-42.809588","Piauí","Brasil","Teresina",1
"ObjectId(""5ebd6c4dc7b01f00197ab707"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd6ca5c7b01f00197ab709"")","-5.1023325","-42.8449518","Maranhão","Brasil","Timon",0
"ObjectId(""5ebd6cd5c7b01f00197ab70a"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",21
"ObjectId(""5ebd6cf7c7b01f00197ab70c"")","-32.0334252","-52.0991297","Rio Grande do Sul","Brasil","Rio Grande",0
"ObjectId(""5ebd6cfcc7b01f00197ab70d"")","-23.5324859","-46.7916801","São Paulo","Brasil","Osasco",75
"ObjectId(""5ebd6d1dc7b01f00197ab70e"")","-21.2425512","-44.9991978","Minas Gerais","Brasil","Lavras",0
"ObjectId(""5ebd6d36c7b01f00197ab710"")","-22.7896225","-43.309929","Rio de Janeiro","Brasil","Duque de Caxias",4
"ObjectId(""5ebd6d40c7b01f00197ab711"")","-16.4252491","-51.8231427","Goiás","Brasil","Piranhas",0
"ObjectId(""5ebd6d71c7b01f00197ab713"")","-28.784398","-51.6105402","Rio Grande do Sul","Brasil","Nova Prata",0
"ObjectId(""5ebd6d83c7b01f00197ab714"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0
"ObjectId(""5ebd6d8cc7b01f00197ab715"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",44
"ObjectId(""5ebd6d9fc7b01f00197ab716"")","-5.1023325","-42.8449518","Maranhão","Brasil","Timon",0
"ObjectId(""5ebd6ddac7b01f00197ab717"")","-2.8992823","-79.0216101","Azuay","Ecuador","Cuenca",1
"ObjectId(""5ebd6de0c7b01f00197ab718"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd6e0ac7b01f00197ab719"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd6e12c7b01f00197ab71a"")","-3.0047906","-59.9763849","Amazonas","Brasil","Manaus",10
"ObjectId(""5ebd6e36c7b01f00197ab71b"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",1
"ObjectId(""5ebd6e49c7b01f00197ab71c"")","-8.7494525","-63.8735438","Rondônia","Brasil","Porto Velho",0
"ObjectId(""5ebd6e7fc7b01f00197ab71d"")","-4.1632924","-40.7495985","Ceará","Brasil","Guaraciaba do Norte",2
"ObjectId(""5ebd6e84c7b01f00197ab71e"")","-29.8425284","-53.7680577","Rio Grande do Sul","Brasil",,0
"ObjectId(""5ebd6e95c7b01f00197ab71f"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd6e9dc7b01f00197ab720"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",0
"ObjectId(""5ebd6ea3c7b01f00197ab721"")","-26.8898813","-48.6495828","Santa Catarina","Brasil","Navegantes",0
